contentId,If you liked,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
-8377626164558006982,Bad Writing Is Destroying Your Company's Productivity,Power to the People: How One Unknown Group of Researchers Holds the Key to Using AI to Solve Real...,"Google, Amazon and the upcoming battle over AI Assistants",Google's Cloud Machine Learning service is now in public beta,How Mark Zuckerberg Led Facebook's War to Crush Google Plus,The return of the machinery question
-8370744479086515302,Mobile banking conquista o coração dos brasileiros,"Google Slides incorpora recurso de ""perguntas e respostas"" em tempo real | Google Discovery",Bradesco vai testar tecnologia por trás do bitcoin em São Paulo,How the queen of Silicon Valley is helping Google go after Amazon's most profitable business,Accenture amplia atuação no Brasil,The Drive to Bank on Digital
-8369610219380465981,Nintendo has doubled in value since Pokémon Go's release,Two Different Sales Motions . . . .,Is FinTech Forcing Banking to a Tipping Point?,Blaise Agüera y Arcas: How computers are learning to be creative,Can Accenture Take Over Advertising?,Do you want Crappy Agile?
-8340365043226490059,big data = real time,Organizing for digital acceleration: Making a two-speed IT operating model work,Algorithms and architecture for job recommendations,Piloto de caça criado por inteligência artificial vence humano em combate simulado,Mobile marketing statistics 2016,"An independent organization just ranked Google as the best cloud, beating Amazon"
-8314629309720421219,Hacked Website Report - 2016/Q3,What Color is Your Function?,Burger King aceita pedidos via mensagens no Facebook - Startupi,12 JavaScript Hacks,"How to build a robot that ""sees"" with $100 and TensorFlow",Internet of Things Drives Outcome-Based Business Models
-8287402887944984163,Containers are not VMs,​Microsoft and Canonical partner to bring Ubuntu to Windows 10 | ZDNet,Lightning Distribution for Drupal: Build Advanced Authoring Experiences in Drupal 8,Java vs .NET vs Python vs Ruby vs Node.JS: Who Reigns the Job Market? | Takipi Blog,The return of the machinery question,Why Netflix thinks its personalized recommendation engine is worth $1 billion per year
-8279505492976427918,"Bots, Messenger and the future of customer service",Graph Capabilities with the Elastic Stack,Designing smart notifications,Cracking the Job Interview with TensorFlow,Why Kubernetes may be a bigger threat to Amazon than Google's cloud - TechRepublic,Building more accessible technology
-8258529658421542282,Vision API - Image Content Analysis,Bots won't replace apps. Better apps will replace apps.,System Code Geeks are giving away a FREE Sublime Text Editor License,What Color is Your Function?,Making open source data more available,Google's Cloud Machine Learning service is now in public beta
-8243488279185272615,"Elopar lança o ""Digio"", cartão para brigar com Nubank",Novas frentes de trabalho da Alelo vão de ações de fidelidade a novos meios de pagamento,Bradesco lança serviço inédito para estimular o hábito de poupar,Abrimos uma conta no Original.,The Future of Digital Banking is Now,XP quer ter banco no Brasil e vai abrir escritório em Genebra este mês
-8208801367848627943,Ray Kurzweil: The world isn't getting worse - our information is getting better,"Microsoft adquire LinkedIn por US$ 26,2 bilhões",The Future of Digital Banking is Now,How Netflix does A/B Testing - uxdesign.cc - User Experience Design,Shopping app Spring's redesign could be a game-changer,Introduction to release engineering
-8204817396973648779,"curso de branding, diferenciação e estratégia de marca",Designer Creates 13 Perfect Circles to Draw Almost Any Animal,"Google launches Springboard, an AI-powered assistant for its enterprise customers",Branding é problema seu. E meu.,How the queen of Silicon Valley is helping Google go after Amazon's most profitable business,Skill swarms - a new way to share expertise and work smarter together - Skillhive
-8190931845319543363,Machine Learning Is At The Very Peak Of Its Hype Cycle - ARC,PwC faz virada digital e já fatura US$ 1 bilhão no mundo,The economic essentials of digital strategy,Top 10 Intranet Trends of 2016,Why image recognition is about to transform business,This startup uses machine learning and satellite imagery to predict crop yields
-8189315446782327370,WWDC 2016 preview: How to watch &amp; what to expect at Apple's event on Monday,The AI business landscape,"Meet Bozoma Saint John, the Apple executive who stole the show at WWDC",Designing smart notifications,Ordering coffee in Italy: the 10 commandments,The barbell effect of machine learning.
-8187220755213888616,Organizing for digital acceleration: Making a two-speed IT operating model work,Especial: O papel dos grandes provedores de TI na Rio 2016,"""Consultorias promovem a desvalorização do nosso negócio"" - Meio & Mensagem",Governo define cronograma para plano nacional de Internet das Coisas,Five questions boards should ask about IT in a digital world,Latin America's chronic inefficiency could drive more O2O commerce growth
-8159730897893673528,"Amazon still crushing cloud competition, says Gartner Magic Quadrant for IaaS - TechRepublic",Why Is Learning Drupal Hard?,How enterprise architects can help ensure success with digital transformations,WeChat's world,WeChat's competitor to Slack has arrived,Cinco competências essenciais ao IT Leaders - CIO
-8142426490949346803,A identidade visual de Budapeste para as Olimpíadas de 2024,Designer Creates 13 Perfect Circles to Draw Almost Any Animal,A importância dos filmes de mulherzinha - Capitolina,Branding é problema seu. E meu.,Empresa britânica adota licença remunerada no período menstrual,A nova sede da LEGO na Dinamarca é toda sobre colaboração
-8085935119790093311,Graph Capabilities with the Elastic Stack,Designing smart notifications,"Facebook Workplace officially launches on the web and iOS, set to compete head-on with Slack",Kubernetes,"Bots, Messenger and the future of customer service",Seria Stranger Things uma obra de arte do algoritmo da Netflix?
-8043889175123948305,Dicas avançadas de ruby (capybara/cucumber),Como Usar o Git e o GitHub,BDD Best Practices and Guidelines - Testing Excellence,Sua comunidade de Teste.,ITA está oferecendo 10 cursos gratuitos a distância - Engenharia é:,Cookbook
-8018192200278263695,Pão de Açúcar tem rombo de R$ 512 milhões com fraude em e-commerce,Mercado de Cosméticos no Brasil - Setor que não conhece crise!,Startups matam. E suas vítimas são as empresas que ainda não entendem o que é a Economia do Acesso,"Como o e-commerce brasileiro pode, enfim, começar a lucrar",Não existe frete grátis!,Visual Thinking and Learning 3.0 working together at Walmart.com | Happy Melly
-7986975759046428357,It's The Future,Lists are the new search,Up your app's sharing game with DirectShare - Google Developers,Ordering coffee in Italy: the 10 commandments,Dark Scrum,Berners-Lee quer criar outra Web
-7891293130731329672,Sobre o Hipsters Ponto Tech,"Enterprises fighting back, Spring Boot is the best, and other SpringOne Platform takeaways",bliki: StranglerApplication,Criando ícones animados no Android,Eclipse Foundation Releases Neon,Java Tools and Technologies Landscape Report 2016 | zeroturnaround.com
-7862677531530632089,11 incredible ways UK businesses are using chatbots,"Telecoms open shop on Madison Avenue, but will brands buy?",A New Number Format for Computers Could Nuke Approximation Errors for Good,Why and How to Avoid Hamburger Menus - Louie A. - Mobile UX Design,The rise of APIs,Accidental discovery could help batteries last years longer
-7838000919054582150,Festival de Fotografia Hercule Florence - Timeline | Facebook,Funcionários do mês no CoolHow: os Slackbots - CoolHow Creative Lab,"Facebook Workplace officially launches on the web and iOS, set to compete head-on with Slack",Susep divulga nota de esclarecimento sobre a Youse Seguros,Top 10 Intranet Trends of 2016,"Google acquires Synergyse, an interactive training service for Google Apps"
-7826213337362450520,Ciclistas relatam roubos com agressividade na avenida dos Andradas,Shopping em BH terá fazenda urbana de 2.700 m²,Robô acha de almoço de 12 kg a cervejas pagas pelo cidadão,Why and How to Avoid Hamburger Menus - Louie A. - Mobile UX Design,Android Developers Summer Reading List,Olli: Artificial Intelligence for the real world of connected commuting
-7812176982819372240,Sete Reinos,Goodbye accountants! Startup builds AI to automate all your accounting,Beyond Progressive Web Apps Part 2: We Need to Know What's New,Creating Your Code Review Checklist - DaedTech,"Amazon open-sources its own deep learning software, DSSTNE",Branding é problema seu. E meu.
-7809508238092432842,"If women in tech stop apologizing, we might just be able to shut the sexist shit down. - Athena Talks",Google employees are adding 'Lady' to their job titles to fight sexism,#Sentaquelávemtextão,"If you think women in tech is just a pipeline problem, you haven't been paying attention - Tech Diversity Files",Susan Wojcicki on the Effectiveness of Empowering Ads on YouTube,Para entender o Dia Internacional contra a Homofobia
-7722236679806608274,"Chrome 53 Beta: Shadow DOM, PaymentRequest, and Android autoplay",Micro Profile JavaEE com Wildfly Swarm,Eclipse Foundation Releases Neon,Criando ícones animados no Android,Building Flipkart Lite: A Progressive Web App,gotwarlost/istanbul
-7681408188643141872,The End Of Apps As We Know Them - Inside Intercom,A digital crack in banking's business model,Accidental discovery could help batteries last years longer,The rise of APIs,Confused by blockchains? Revolution vs Evolution,"No Brasil, '25% dos celulares ainda são 'Burrofones'"
-7660505434580831027,Empresa britânica adota licença remunerada no período menstrual,A importância dos filmes de mulherzinha - Capitolina,Criadas para casar,Promoting gender equality through emoji �� ��,"O meme 'Luiza, você está atenta?' explicou da melhor forma o machismo na área da tecnologia",#iLookLikeAnEngineer: One Year Later
-7646922141533719881,Using Microservices Architecture as API Enablement Strategy,Hype Driven Development,Microservices - When to React Vs. Orchestrate - Capital One DevExchange,Microservices testing,​Microsoft and Canonical partner to bring Ubuntu to Windows 10 | ZDNet,When to make a Git Commit
-7623502978685822577,"Don't Start Big, Start a Little Snowball",A Googler analyzed a billion files to settle the programming dispute made famous by HBO's 'Silicon Valley',On DRY and the cost of wrongful abstractions,"How to build a robot that ""sees"" with $100 and TensorFlow",Seja esperto no trabalho: Melhore a comunicação na empresa com 12 robôs,Dark Scrum
-7613994611628693820,CMN regulamenta abertura de conta de depósito por meio eletrônico,Banco desafia empreendedores e estudantes de tecnologia a buscarem inovação para processos | EXAME.com,Bradesco lança serviço inédito para estimular o hábito de poupar,Cade autoriza Itaú Unibanco e Mastercard a criarem nova bandeira de cartão,The Drive to Bank on Digital,XP quer ter banco no Brasil e vai abrir escritório em Genebra este mês
-7570652411388243006,The compelling case to replace a 40-year old core system - Chris Skinner's blog,Measuring email effectiveness in retail banking,Bradesco lança serviço inédito para estimular o hábito de poupar,XP quer ter banco no Brasil e vai abrir escritório em Genebra este mês,Starbucks tem mais dinheiro do cliente em cartões do que bancos,"Say goodbye to traditional customer segmentation "" Banking Technology"
-7566966163569468290,Watch Google's AI master the infamously difficult Atari game Montezuma's Revenge,Artificial intelligence produces realistic sounds that fool humans,Transfer Style But Not Color,Blaise Agüera y Arcas: How computers are learning to be creative,Google lags behind Amazon and Microsoft's cloud in one important area,The AI business landscape
-7564569805639737618,Programação Reativa Funcional com RxJava,"Fresco, sim! - Android Dev BR",Android Developers Summer Reading List,StrictMode for Runtime Analysis on Android - Google Developers,Using DiffUtil in Android RecyclerView,Creating Compound Views on Android
-7553931975579248065,Comercial japonês cria cidade de papel com caneta que conduz eletricidade,Visa e Swatch lançam relógio para pagamentos contactless no Brasil - Startupi,The Internet of Things is looking for its VisiCalc,Carteira inteligente tem trava biométrica e controle por aplicativo - Gadgets,Smart Contact Lens-Eyeglass Combo Could Monitors Diabetes and Delivers Drugs,One Dollar Board: Um projeto brasileiro para revolucionar a educação
-7539387928750597096,Smart Contact Lens-Eyeglass Combo Could Monitors Diabetes and Delivers Drugs,One Dollar Board: Um projeto brasileiro para revolucionar a educação,Visa e Swatch lançam relógio para pagamentos contactless no Brasil - Startupi,Comercial japonês cria cidade de papel com caneta que conduz eletricidade,Raspberry Pi with cloud vision at Google I/O - Raspberry Pi,Lentes de contato inteligentes serão o wearable definitivo
-7518373517401484139,My favorite people and resources to learn Android programming from,Exploring Java's Hidden Costs,DBA BRASIL no INTEROPMIX 2016,Advanced Android Espresso,Facebook's Artificial Intelligence Research lab releases open source fastText on GitHub,Android Studio 2.2
-7508055250504867652,Cia. Hering sincroniza diferentes marcas em um único portal de compras,As compras e os hábitos dos brasileiros no shopping | EXAME.com,Por que o Walmart não é Walmart no Brasil,Amazon causa polêmica com serviço que faz entregas em 1 hora em Paris,Mercado de Cosméticos no Brasil - Setor que não conhece crise!,Não existe frete grátis!
-7492067511846042603,"What's new in Android: the N-Release, Virtual Reality, Android Studio 2.2 and more | Android Developers Blog",Alecrim/AlecrimCoreData,Exploring Java's Hidden Costs,O que o GitHub tem a nos dizer sobre os estereótipos entre programadores | Tecnoblog,Android Developers Summer Reading List,Post: Just Say mNo to Hungarian Notation
-7463305179076477879,"Salesforce buys Demandware for $2.8B, taking a big step into e-commerce",Top 10 Intranet Trends of 2016,The return of the machinery question,Is FinTech Forcing Banking to a Tipping Point?,"Adobe, Acquia, Episerver Lead New Forrester WCM Wave",Diane Greene wants to put the enterprise front and center of Google Cloud strategy
-7423191370472335463,"Espresso Intents: não é magia, é tecnologia! - Android Dev BR",Advanced Android Espresso,Google vai reduzir em 50% consumo de memória do Chrome | Google Discovery,"Microsoft lança Teams, nova plataforma de chat concorrente do Slack | MacMagazine.com.br","Incrível, Skype se lembrou que o Linux existe!",Android Studio 2.2
-7399665664688732365,Touch (TV Series 2012-2013),How I sped up the initial render of my Polymer app by 86%,Squads não-suicidas - Hipsters #08,"Secret's founder returns with Bold, a Medium for enterprise","Google acquires Synergyse, an interactive training service for Google Apps",Nubank e Goldman fecham parceria de R$ 200 milhões
-7387185690512762935,Angular 2 versus React: There Will Be Blood - Free Code Camp,Serverless real-time architecture on AWS: there is a way !,Docker e .Net,Microservices Architecture on Google App Engine,The Netflix Tech Blog: Engineering Trade-Offs and The Netflix API Re-Architecture,Pull request first - Practical Blend
-7342604649736473979,Docker 1.12: Now with Built-in Orchestration!,The Netflix Tech Blog: Netflix Billing Migration to AWS,What to Inspect When You are Inspecting!,Google is testing a new Material Design layout for desktop searches,Using behavioral data to improve customer satisfaction,Microsoft expands its support for Docker containers
-7331393944609614247,Here's proof that Google is getting serious about battling Facebook in a key area,Google Cloud Goes to the Farm,Evernote anuncia integração com Google Drive | Google Discovery,"Google lança Science Journal, aplicativo de ciências para Android | Google Discovery",Aplicativos do Android agora podem reagir com o ambiente | Google Discovery,Google is quietly recording everything you say. Here's how to hear it
-7294716554902079523,Usando o git add interativo,15 Awesome Sublime Text Plugins For Web Development,How to build cross-platform mobile apps using nothing more than a JSON markup,Machine Learning Is No Longer Just for Experts,15 minutos sobre Docker,Using DiffUtil in Android RecyclerView
-7264217791213422584,Qual é o valor da área de T&D na sua empresa?,Digital Health Coaching,"Life Coach vs. Therapist, Learn the Difference | Tony Robbins",Lean IT is all about people - o Lean na TI é focado em pessoas,Former Google career coach shares a visual trick for figuring out what to do with your life,"Para neurociência, motivação não é fator principal em mudança de hábitos"
-7217198366041991957,YouTube chama seus criadores de conteúdo para a campanha mundial #OrgulhoDeSer,"TRF mantém resolução que proíbe ""cura gay"" - Jornal Opção","No dia das mães, Avon lança campanha com mãe de jovem gay","Para rebater Estatuto da Família, campanha muda significado de 'família' no Dicionário Houaiss",Este site quer conectar profissionais trans e travestis a empresas que não têm preconceito,Nova campanha da Avon tem drag queen como estrela
-7169261479876586557,Carteira inteligente tem trava biométrica e controle por aplicativo - Gadgets,Visa e Swatch lançam relógio para pagamentos contactless no Brasil - Startupi,Comercial japonês cria cidade de papel com caneta que conduz eletricidade,Evernote anuncia integração com Google Drive | Google Discovery,"Google lança Science Journal, aplicativo de ciências para Android | Google Discovery",The Internet of Things is looking for its VisiCalc
-7162567255723313045,Chatbots: Are they better without the chat?,Machine Learning Is No Longer Just for Experts,Duolingo's chatbots help you learn a new language,Bots won't replace apps. Better apps will replace apps.,Modelando APIs REST com Swagger,How to build cross-platform mobile apps using nothing more than a JSON markup
-7126520323752764957,"How Google is Remaking Itself as a ""Machine Learning First"" Company - Backchannel",Introduction to Natural Language Processing - University of Michigan | Coursera,The AI business landscape,"DARPA Goes ""Meta"" with Machine Learning for Machine Learning","Hello, TensorFlow!",6 reasons why I like KeystoneML
-7120369133608664808,É chegada a hora do desenvolvimento de software orientado por hipóteses - CIO,The future of the shopping mall,"No, Apple isn't the next BlackBerry - it's the next Microsoft",Assessing Salesforce's platform and ecosystem | ZDNet,Confirmed: Walmart buys Jet.com for $3B in cash,Nova regra do Banco Central pode significar o fim do Nubank; entenda - IDG Now!
-7113155163062752691,Arquitetura de Microserviços habilitando APIs - Sensedia,Communication patterns in a Microservice world,Microservices - When to React Vs. Orchestrate - Capital One DevExchange,Spring Boot 1.5.1 released,The Ultimate Solution to Versioning REST APIs: Content Negotiation,Don't document your code. Code your documentation.
-7047448754687279385,Plano nacional de ''internet das coisas'' sai em fevereiro,Aplicação de visão computacional com OpenCV,Microservices - When to React Vs. Orchestrate - Capital One DevExchange,Most Interesting APIs in 2016: Cognitive Computing,Using DiffUtil in Android RecyclerView,Java 8 Streams - A Deeper Approach About Performance Improvement
-6999287066519531005,Lightning Distribution for Drupal: Build Advanced Authoring Experiences in Drupal 8,Meet Aquifer: A build system for easier Drupal development,​Microsoft and Canonical partner to bring Ubuntu to Windows 10 | ZDNet,Containers are not VMs,Dries Distributions remain a growing opportunity for Drupal - Buytaert,Dries Buytaert
-6980020268309524947,Cross-channel user experiences with Drupal,The AI business landscape,Google Cloud Goes to the Farm,Acquia Engage Awards Finalists Announced,The return of the machinery question,Google researchers teach AIs to see the important parts of images - and tell you about them
-6872546942144599345,My experience with Google's Associate Android Developer Certification,Using DiffUtil in Android RecyclerView,Listas com RecyclerView - Android Dev BR,Android Developers Summer Reading List,What makes a good (Android) Software Engineer,Advanced Android Espresso
-6858665134018491791,Chat Smarter with Allo,O valor de seu trabalho de coaching vai depender de suas habilidades de acompanhamento - Harvard Business Review Brasil,"How Google is Remaking Itself as a ""Machine Learning First"" Company - Backchannel",The rise of APIs,Bad Writing Is Destroying Your Company's Productivity,"Hello, TensorFlow!"
-6843047699859121724,"Ganhe 6 meses de acesso ao Pluralsight, maior plataforma de treinamento online",Gartner Reprint,"GitLab launches Issue Boards, an open-source task management tool that resembles Trello",A New Number Format for Computers Could Nuke Approximation Errors for Good,New MacBook Pro is not a Laptop for Developers Anymore,What Color is Your Function?
