contentId,If you liked,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
-3.17936E+18,Not Your Father's Insurance Industry - Insurance Thought Leadership,Top 10 Insurtech Trends for 2017 - Insurance Thought Leadership,"IoT Insurance: Trends in Home, Life & Auto Insurance Industries",The new tech talent you need to succeed in digital,A smart home is where the bot is,Digital Tool as Strategic Enabler for Banking Transformation
3.12828E+18,Pury - New Way to Profile Your Android Application,"Stream processing, Event sourcing, Reactive, CEP... and making sense of it all - Confluent","Practical advice for analysis of large, complex data sets",The Java 8 API Design Principles,Communication patterns in a Microservice world,The Complete Google Analytics Audit Checklist | Optimization Up
8.77989E+18,Mastercard lança plataforma de APIs abertas para soluções de pagamentos - Startupi,Mastercard libera APIs para quem quer desenvolver novas fintechs,Banco Original discute tendências dos serviços financeiros e lança plataforma para desenvolvedores - Startupi,Especialistas trazem tendências de UX para 2017 - KingHost,"Mastercard disponibiliza autenticação de pagamento por ""selfie"" no Brasil e México - Startupi","IBM e Visa transformam automóveis, eletrodomésticos e outros dispositivos conectados em potenciais pontos de vendas"
-9.03321E+18,Google's Cloud Machine Learning service is now in public beta,Google Cloud Platform sets a course for new horizons,"Google Cloud Machine Learning family grows with new API, editions and pricing",How real businesses are using machine learning,Machine Learning Is No Longer Just for Experts,"Google saves Allo conversations, a win for machine learning but a loss for privacy - Tech2"
1.74708E+17,Bringing Pokémon GO to life on Google Cloud,Google Cloud Platform sets a course for new horizons,Blog | Niantic,Google's Cloud Machine Learning service is now in public beta,Understanding User Psychology: Thinking Like a Game Designer,8 must-see sessions for application developers at Google Cloud Next '17
7.51009E+18,Don't Waste Your Time on Networking Events,Communication patterns in a Microservice world,"Stream processing, Event sourcing, Reactive, CEP... and making sense of it all - Confluent","What do you mean by ""Event-Driven""?",Communication Within an Android App With EventBus,Building Event-driven Microservices Using CQRS and Serverless
3.48633E+17,Tracking Multiple Categories in Google Analytics for Content Pages - E-Nor | Google Analytics Blog,The Complete Google Analytics Audit Checklist | Optimization Up,Improvements coming to the Google Analytics desktop UI,"Stream processing, Event sourcing, Reactive, CEP... and making sense of it all - Confluent",Building a Facebook Chat Bot with Node and Heroku,Using Display Suite in Drupal 8: How to Customize Content Pages - WebWash
5.41029E+18,"Use Docker to build, test and push your Artifacts",Labelling automated builds on Docker Hub - Microscaling Systems,Introducing Docker for Windows Server 2016 - Docker Blog,Testing a new Drupal 8 installation with 2 Docker commands,Drupal 8 CI/CD with Docker via Jenkins. Part 1: Integration,containerd - a core container runtime project for the industry - Docker Blog
-8.05219E+18,Google lança novos recursos para o Analytics,Especialistas trazem tendências de UX para 2017 - KingHost,Como o Trello foi de 4 a 17 milhões de usuários,Banco Original discute tendências dos serviços financeiros e lança plataforma para desenvolvedores - Startupi,Black Friday salva o ano do e-commerce,Saiba como a Cisco está trabalhando com IoT e suas iniciativas para os empreendedores desse mercado - Startupi
6.79006E+17,Mastercard libera APIs para quem quer desenvolver novas fintechs,Mastercard lança plataforma de APIs abertas para soluções de pagamentos - Startupi,"Mastercard disponibiliza autenticação de pagamento por ""selfie"" no Brasil e México - Startupi",Banco Original discute tendências dos serviços financeiros e lança plataforma para desenvolvedores - Startupi,"IBM e Visa transformam automóveis, eletrodomésticos e outros dispositivos conectados em potenciais pontos de vendas",Especialistas trazem tendências de UX para 2017 - KingHost
-6.65447E+18,Advanced Android Espresso,RecyclerView Prefetch - Google Developers,What to look for in a code review ,Building a Facebook Chat Bot with Node and Heroku,Android Fundamentals: IntentService Basics,Using Display Suite in Drupal 8: How to Customize Content Pages - WebWash
8.34896E+17,So you want to sell to banks?,Digital Tool as Strategic Enabler for Banking Transformation,Blockchain Will Be Used By 15% of Big Banks By 2017,Mapping the Global NeoBank Landscape - Techfoliance,How do you sell SaaS software to enterprise businesses?,Where is the bank's digital vision? - Chris Skinner's blog
2.51587E+18,Woolworths,Black Friday salva o ano do e-commerce,"Por dentro do Nubank, conheça os segredos da fintech mais festejada do país",Especialistas trazem tendências de UX para 2017 - KingHost,Saiba como a Cisco está trabalhando com IoT e suas iniciativas para os empreendedores desse mercado - Startupi,TI Bimodal? Receita para o desastre...
-6.15862E+17,Facebook cria e-commerce para concorrer com eBay,Como o Trello foi de 4 a 17 milhões de usuários,Especialistas trazem tendências de UX para 2017 - KingHost,"Facebook lança Workplace, versão da rede social para empresas",Banco Original discute tendências dos serviços financeiros e lança plataforma para desenvolvedores - Startupi,Black Friday salva o ano do e-commerce
-3.8508E+18,Novas frentes de trabalho da Alelo vão de ações de fidelidade a novos meios de pagamento,"Por dentro do Nubank, conheça os segredos da fintech mais festejada do país",Saiba como a Cisco está trabalhando com IoT e suas iniciativas para os empreendedores desse mercado - Startupi,Especialistas trazem tendências de UX para 2017 - KingHost,Como o Trello foi de 4 a 17 milhões de usuários,Banco Original discute tendências dos serviços financeiros e lança plataforma para desenvolvedores - Startupi
-4.99634E+18,Live asynchronously.,9 Rules of Open-Office Etiquette,Why Programmers Want Private Offices,Seniority,Slack CEO Stewart Butterfield on the Future of Communication,Ask a Female Engineer: Joining a Startup
6.0068E+18,​Kubernetes 1.4: One DevOps tool to rule all the containers | ZDNet,Google Cloud Platform sets a course for new horizons,Using TensorFlow and JupyterHub in Classrooms,"Building A Modern, Scalable Backend: Modernizing Monolithic Applications",8 must-see sessions for application developers at Google Cloud Next '17,"Docker - Build, Ship, and Run Any App, Anywhere"
1.23394E+18,Feito por Elas #01 Agnieszka Holland | AntiCast,"IBM e Visa transformam automóveis, eletrodomésticos e outros dispositivos conectados em potenciais pontos de vendas",Kaol Porfírio luta como uma garota! - Think Olga,O chefe é gay. E daí?,A saga do jovem CEO da Dasa,"""5G está para IoT como 4G esteve para o Smartphone"", saiba as apostas da Intel para 2017"
-5.92048E+18,How it feels to learn Javascript in 2016,"The Languages, Frameworks and Tools You Should Learn in 2017",What to look for in a code review ,15 Interesting JavaScript and CSS Libraries for October 2016,"Front-End Performance Checklist 2017 (PDF, Apple Pages) - Smashing Magazine",Node.js Best Practices - How to Become a Better Developer in 2017 | @RisingStack
3.46783E+18,15 Interesting JavaScript and CSS Libraries for October 2016,20 Awesome PHP Libraries For Early 2017,15 Awesome Sublime Text Plugins For Web Development,"The Languages, Frameworks and Tools You Should Learn in 2017",How it feels to learn Javascript in 2016,"Front-End Performance Checklist 2017 (PDF, Apple Pages) - Smashing Magazine"
7.01367E+18,Itaú Unibanco fecha compra de ativos de varejo do Citi no Brasil,Como o Banco do Brasil está inovando e incentivando o intraempreendedorismo,Banco Original discute tendências dos serviços financeiros e lança plataforma para desenvolvedores - Startupi,A saga do jovem CEO da Dasa,Black Friday salva o ano do e-commerce,"Infracommerce, operadora de e-commerce da Ambev e Alpargatas, recebe aporte de R$ 40 mi"
-8.80003E+18,"Facebook Workplace officially launches on the web and iOS, set to compete head-on with Slack","Facebook lança Workplace, versão da rede social para empresas",IBM Watson is about to make Slack's chat bot smarter,Slack and Google announce partnership focused on better integrating their services,Slack swips at Skype with video calls and reaction emoji,Building on Slack Saved Our Startup
-5.65825E+18,Machine Learning and the VP Debate,Most Interesting APIs in 2016: Cognitive Computing,"Google Cloud Machine Learning family grows with new API, editions and pricing",The Java 8 API Design Principles,"Practical advice for analysis of large, complex data sets",IBM Seeks to Simplify Graph with New Titan Service
3.78386E+17,5 Podcasts : Aprenda mais sobre gestão e liderança,A saga do jovem CEO da Dasa,Banco Original discute tendências dos serviços financeiros e lança plataforma para desenvolvedores - Startupi,"SINAIS do FUTURO imediato: #1, internet das coisas","Por dentro do Nubank, conheça os segredos da fintech mais festejada do país",O que é benchmarking? Veja quando um concorrente se torna inspiração!
-7.52788E+15,De piada sobre TPM a servir cafezinho: como lidar com machismo no trabalho?,"SINAIS do FUTURO imediato: #1, internet das coisas",Kaol Porfírio luta como uma garota! - Think Olga,O que é benchmarking? Veja quando um concorrente se torna inspiração!,O manual do deboísta corporativo,"Por dentro do Nubank, conheça os segredos da fintech mais festejada do país"
5.85421E+18,The hardest thing in computer science,Don't document your code. Code your documentation.,What to look for in a code review ,The Java 8 API Design Principles,Java 8 Streams - A Deeper Approach About Performance Improvement,Inversion of Control Containers and the Dependency Injection pattern
-4.27386E+17,UBS targets less rich Brits with robo-advisor platform,Digital Tool as Strategic Enabler for Banking Transformation,Blockchain Will Be Used By 15% of Big Banks By 2017,Blockchain startup R3 cuts fund-raising target to $150 million: source,Where is the bank's digital vision? - Chris Skinner's blog,Microsoft and Bank of America Merrill Lynch Collaborate to Transform Trade Finance Transacting With Azure Blockchain as a Service
-2.89096E+18,Unilever: The biggest digital start-up in the world?,Large CPGs are under attack by startups... and consumers are winning,We are on the verge of a consumer M&A avalanche,These Are The 10 Most Purchased Brands in the World,Digital Leadership Is Not an Optional Part of Being a CEO,Where is the bank's digital vision? - Chris Skinner's blog
6.09903E+18,New APIs Expand Line's Third Party Integration and Chatbot Capabilities,Introduction To Chatbots,Most Interesting APIs in 2016: Cognitive Computing,Life Beyond Email: Chatbot Marketing,Building a Facebook Chat Bot with Node and Heroku,Support your Gmail users more easily with revamped bounce messages and message headers
1.7373E+18,New Trend Briefing from TrendWatching | AUTONOMANIA!,Andrew Ng: What AI Can and Can't Do,Here's how The White House wants the U.S. to approach AI R&D,A smart home is where the bot is,Large CPGs are under attack by startups... and consumers are winning,trendwatching.com | 5 Trends for 2017 | TrendWatching
-2.89644E+18,"Simple rolls out shared bank accounts that work for anyone, including roommates",Engineering Digital Banking Solutions Using UX Methodology,"Amazon looking to buy Capital One? "" Banking Technology",Yahoo discloses hack of 1 billion accounts,So you want to sell to banks?,Digital Tool as Strategic Enabler for Banking Transformation
1.79739E+18,Breaking: Apple's Search Ads go LIVE!,Today in Apple history: 'Here's to the crazy ones...' | Cult of Mac,The Mobile Growth Stack: 2017 Edition - Mobile Growth Stack,Voice Search Could Become Mainstream Within the Next 5 Years,This 8-Page Website Generated Six-Figures in its First 8 Months - gaps,13 Killer SEO Copywriting Tips (With Examples and A/B Tests)
6.67869E+18,Why Deep Learning Is Suddenly Changing Your Life,"AI Pioneer Yoshua Bengio Is Launching Element.AI, a Deep-Learning Incubator",Baidu Research grills AI models on deep learning,Google DeepMind researchers built a deep-learning system capable of learning from very little data.,Machine Learning Is No Longer Just for Experts,Microsoft adds Python to deep learning toolkit
8.26749E+17,The investment case for employing a Drupal core contributor - Dries Buytaert,Drupal 8 is 1 Year Old (AND YOU GET A PRIZE!),0. The case for Drupal and Commerce,6. What can Acquia and the community do now regarding Drupal and ecommerce?,Dries Distributions remain a growing opportunity for Drupal - Buytaert,2. Why Drupal is ideal for ecommerce
4.8939E+18,[Article] Poka Yoke: o que é e como implementar | Endeavor Brasil,"SINAIS do FUTURO imediato: #1, internet das coisas",O que é benchmarking? Veja quando um concorrente se torna inspiração!,Use Poka-Yoke Technique to Improve Software Quality,Especialistas trazem tendências de UX para 2017 - KingHost,O manual do deboísta corporativo
-8.20221E+18,Cover-More to raise $73.3 million to buy Travelex insurance unit,"IoT Insurance: Trends in Home, Life & Auto Insurance Industries",Top 10 Insurtech Trends for 2017 - Insurance Thought Leadership,Microsoft and Bank of America Merrill Lynch Collaborate to Transform Trade Finance Transacting With Azure Blockchain as a Service,Not Your Father's Insurance Industry - Insurance Thought Leadership,"Amazon looking to buy Capital One? "" Banking Technology"
6.60451E+17,Duolingo's chatbots help you learn a new language,"Which countries study which languages, and what can we learn from it? | Making Duolingo Blog",Introduction To Chatbots,A smart home is where the bot is,The Three Language Acquisition Stages,Introducing Mini Courses with MS Chatbots
1.97165E+18,TI Bimodal? Receita para o desastre...,"SINAIS do FUTURO imediato: #1, internet das coisas",O que é benchmarking? Veja quando um concorrente se torna inspiração!,Saiba como a Cisco está trabalhando com IoT e suas iniciativas para os empreendedores desse mercado - Startupi,"Por dentro do Nubank, conheça os segredos da fintech mais festejada do país",Especialistas trazem tendências de UX para 2017 - KingHost
-1.60691E+18,Accenture and Adboe team on customer enegagement,Adobe and Microsoft Partner in the Azure Cloud to Help Businesses Transform Customer Engagement,Adobe Announces Cross-Device Co-op to Enable People-Based Marketing,Banking Needs a Customer Experience Wake-Up Call,Digital Tool as Strategic Enabler for Banking Transformation,Top 10 Insurtech Trends for 2017 - Insurance Thought Leadership
5.94979E+18,How to use Docker to run ASP.NET Core apps on Google App Engine,8 must-see sessions for application developers at Google Cloud Next '17,Introducing Google Cloud Shell's new code editor,"Use Docker to build, test and push your Artifacts",Customize your G Suite experience with App Maker and Recommended apps,Expanding our IDE support with a new Eclipse plugin for App Engine
-8.04763E+18,The door for new contributors to Drupal is still locked,The investment case for employing a Drupal core contributor - Dries Buytaert,12 Agile principles,What to look for in a code review ,Drupal 8 is 1 Year Old (AND YOU GET A PRIZE!),Evaluating the Chinese Developer Community
-7.838E+18,Festival de Fotografia Hercule Florence - Timeline | Facebook,25 Coisas que Você Devia Começar a Fazer Agora que Tem 25 anos,Especialistas trazem tendências de UX para 2017 - KingHost,"ProtoHack, hackathon criado no Vale do Silício, desembarca em São Paulo para sua primeira edição no espaço Engenho Maker - Startupi",Saiba como a Cisco está trabalhando com IoT e suas iniciativas para os empreendedores desse mercado - Startupi,Black Friday salva o ano do e-commerce
5.24776E+17,Graph-powered Machine Learning at Google,IBM Seeks to Simplify Graph with New Titan Service,How real businesses are using machine learning,Machine Learning Is No Longer Just for Experts,The Best Advice From Quora on 'How to Learn Machine Learning',Google's Cloud Machine Learning service is now in public beta
5.76199E+18,Telegram Bolsters Bot API with New Gaming Functionality,Introduction To Chatbots,Globo G1 lança Bot para o Telegram que te ajuda a estudar para o Enem,Introducing Mini Courses with MS Chatbots,New APIs Expand Line's Third Party Integration and Chatbot Capabilities,"Zo, Microsoft's latest attempt at a chatbot, is ready to converse on Kik app"
2.62882E+18,Today in Apple history: Steve Jobs passes away | Cult of Mac,Today in Apple history: Steve Jobs passes away | Cult of Mac,Today in Apple history: World prepares for the NeXT Computer | Cult of Mac,Today in Apple history: 'Here's to the crazy ones...' | Cult of Mac,Today in Apple history: iCloud takes our files and photos to the sky | Cult of Mac,"R.I.P. David Bunnell, founder of MacWorld | Cult of Mac"
5.08708E+18,"Google Pixel, o primeiro smartphone feito pelo Google | Google Discovery",Como a Netshoes se preparou para a Black Friday deste ano,Black Friday salva o ano do e-commerce,Especialistas trazem tendências de UX para 2017 - KingHost,Saiba como a Cisco está trabalhando com IoT e suas iniciativas para os empreendedores desse mercado - Startupi,O futuro das interfaces: Chatbots - Tableless
5.84219E+18,3 Pillars of the Most Successful Tech Products,The Mobile Growth Stack: 2017 Edition - Mobile Growth Stack,Why do you Fail at Growth Marketing and How to Solve it,How to Embrace Constant Change in Growth,Building on Slack Saved Our Startup,7 Tips to Create a Company Learning Culture like Google - Without Resources
-4.2806E+18,The internet of stings,"Largest botnet attack in history peaks at over 1 terabits per second, aided by Internet of Things",America's allies are preparing for a bumpy ride,"As Artificial Intelligence Evolves, So Does Its Criminal Potential","The Three R's of Enterprise Security: Rotate, Repave, and Repair - Built to Adapt",What DeepMind brings to Alphabet
-6.57033E+18,Baidu Research grills AI models on deep learning,"AI Pioneer Yoshua Bengio Is Launching Element.AI, a Deep-Learning Incubator",Why Deep Learning Is Suddenly Changing Your Life,Machine Learning Is No Longer Just for Experts,How real businesses are using machine learning,Microsoft adds Python to deep learning toolkit
7.18293E+18,"ProtoHack, hackathon criado no Vale do Silício, desembarca em São Paulo para sua primeira edição no espaço Engenho Maker - Startupi",Como o Banco do Brasil está inovando e incentivando o intraempreendedorismo,Saiba como a Cisco está trabalhando com IoT e suas iniciativas para os empreendedores desse mercado - Startupi,Black Friday salva o ano do e-commerce,Serasa Experian realiza hackathon com prêmios de até R$10 mil - Startupi,Especialistas trazem tendências de UX para 2017 - KingHost
7.90211E+17,Cartilha sobre técnicas de bioconstrução,Especialistas trazem tendências de UX para 2017 - KingHost,Saiba como a Cisco está trabalhando com IoT e suas iniciativas para os empreendedores desse mercado - Startupi,Banco Original discute tendências dos serviços financeiros e lança plataforma para desenvolvedores - Startupi,"Por dentro do Nubank, conheça os segredos da fintech mais festejada do país",Black Friday salva o ano do e-commerce
3.71513E+18,JPMorgan is Quietly Developing a Private Ethereum Blockchain - CoinDesk,"JPMorgan Software Does in Seconds What Took Lawyers 360,000 Hours",12 Agile principles,Blockchain Will Be Used By 15% of Big Banks By 2017,Blockchain startup R3 cuts fund-raising target to $150 million: source,Why Many Smart Contract Use Cases Are Simply Impossible - CoinDesk
-7.57112E+18,"Meerkat, star app of 2015, is officially dead",Building on Slack Saved Our Startup,Twitter is shutting down Vine,Slack swips at Skype with video calls and reaction emoji,Six iconic retailers and their digital transformation journeys,3 Pillars of the Most Successful Tech Products
3.58589E+18,Can Artificial Intelligence Enhance The Mass Customization In The Fashion Sector ?,Here's how The White House wants the U.S. to approach AI R&D,Andrew Ng: What AI Can and Can't Do,Democratizing AI,How real businesses are using machine learning,Top 10 Hot Artificial Intelligence (AI) Technologies
6.76611E+18,Stop Trying to Sound Smart When You're Writing,13 Killer SEO Copywriting Tips (With Examples and A/B Tests),Seniority,Write Like You Talk,The Three Language Acquisition Stages,Support your Gmail users more easily with revamped bounce messages and message headers
3.1963E+18,"National Coming Out Day - Wikipedia, the free encyclopedia","Developing the Opportunity for Corporate Entrepreneurs - University of Maryland, College Park | Coursera",Having Children Destroyed My Career,"Life Coach vs. Therapist, Learn the Difference | Tony Robbins",Introducing Ask a Female Engineer,What A Difference 2 Percentage Points Makes
